ORIGINE_CODE;ORIGINE_NAME;X_START;Y_START;DESTINATION_CODE;DESTINATION_NAME;FORMATION;DEP_CODE;X_END;Y_END;FLUX
24253;MAREUIL EN PERIGORD;0.507142374;45.44856954;24138;COULOUNIEIX CHAMIERS;FCR-FC OBLIGATOIRE TAXI;24;0.687341021;45.16475489;1
24253;MAREUIL EN PERIGORD;0.507142374;45.44856954;24138;COULOUNIEIX CHAMIERS;FCR-PACK MICRO;24;0.687341021;45.16475489;1
24253;MONSEC;0.507142374;45.44856954;24053;BOULAZAC ISLE MANOIRE;CQP MECANICIEN DE MAINTENANCE AUTO;24;0.781873873;45.14219498;1
24256;MARSAC SUR L ISLE;0.651064534;45.18245639;24138;COULOUNIEIX CHAMIERS;FCD24-FORMATION INITIALE TAXI;24;0.687341021;45.16475489;1
24256;MARSAC SUR L ISLE;0.651064534;45.18245639;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;1
24256;MARSAC SUR L ISLE;0.651064534;45.18245639;24138;COULOUNIEIX CHAMIERS;FCR-HYGIENE ALIMENTAIRE;24;0.687341021;45.16475489;1
24256;MARSAC SUR L ISLE;0.651064534;45.18245639;24138;COULOUNIEIX CHAMIERS;FCR-PACK MICRO;24;0.687341021;45.16475489;1
24256;RAZAC SUR L ISLE;0.651064534;45.18245639;24138;COULOUNIEIX CHAMIERS;FCD24-FORMATION INITIALE TAXI;24;0.687341021;45.16475489;1
24256;RAZAC SUR L ISLE;0.651064534;45.18245639;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;1
24259;MAURENS;0.479884981;44.93903043;24053;BOULAZAC ISLE MANOIRE;CAP EBENISTE;24;0.781873873;45.14219498;1
24259;MAURENS;0.479884981;44.93903043;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;1
24259;MAURENS;0.479884981;44.93903043;24138;COULOUNIEIX CHAMIERS;FCR-HYGIENE ALIMENTAIRE;24;0.687341021;45.16475489;1
24259;SAINT JEAN D EYRAUD;0.479884981;44.93903043;24138;COULOUNIEIX CHAMIERS;FCR-FC OBLIGATOIRE TAXI;24;0.687341021;45.16475489;1
24259;SAINT JULIEN DE CREMPSE;0.479884981;44.93903043;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;1
24264;MENESPLET;0.105925396;45.00406125;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;2
24266;MENSIGNAC;0.558126804;45.22108404;24138;COULOUNIEIX CHAMIERS;FCR-FC OBLIGATOIRE TAXI;24;0.687341021;45.16475489;1
24266;MENSIGNAC;0.558126804;45.22108404;24138;COULOUNIEIX CHAMIERS;FCR-MICRO PRIX;24;0.687341021;45.16475489;1
24268;MEYRALS;1.07020362;44.90786436;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;2
24268;MEYRALS;1.07020362;44.90786436;24138;COULOUNIEIX CHAMIERS;FCR-FC OBLIGATOIRE TAXI;24;0.687341021;45.16475489;1
24268;MEYRALS;1.07020362;44.90786436;24138;COULOUNIEIX CHAMIERS;FCR-PACK MICRO;24;0.687341021;45.16475489;2
24269;MIALET;0.898445205;45.56871646;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;2
24271;MILHAC DE NONTRON;0.791897334;45.47280214;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;1
24272;MINZAC;0.030620382;44.96247406;33063;BORDEAUX;FCR-PACK ESSENTIEL;24;-0.573444149;44.85753608;1
24273;MOLIERES;0.824606211;44.81171659;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;3
24276;MONESTIER;0.315234695;44.77644562;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;1
24276;MONESTIER;0.315234695;44.77644562;24138;COULOUNIEIX CHAMIERS;FCR-PACK MICRO;24;0.687341021;45.16475489;1
24277;MONFAUCON;0.255256463;44.9147605;24138;COULOUNIEIX CHAMIERS;FCR-FC OBLIGATOIRE TAXI;24;0.687341021;45.16475489;1
24280;MONPAZIER;0.893927047;44.68092417;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;1
24280;MONPAZIER;0.893927047;44.68092417;24138;COULOUNIEIX CHAMIERS;FCR-FACEBOOK EXPERT;24;0.687341021;45.16475489;1
24281;MONSAC;0.692397277;44.77984628;24138;COULOUNIEIX CHAMIERS;FCR-PACK MICRO;24;0.687341021;45.16475489;1
24285;MONTAGNAC LA CREMPSE;0.542697491;44.97905833;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;1
24286;MONTAGRIER;0.486360287;45.27223999;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;1
24286;MONTAGRIER;0.486360287;45.27223999;24138;COULOUNIEIX CHAMIERS;FCR-MICRO GESTION QUOTIDIENNE;24;0.687341021;45.16475489;1
24286;MONTAGRIER;0.486360287;45.27223999;24138;COULOUNIEIX CHAMIERS;FCR-PACK MICRO;24;0.687341021;45.16475489;1
24288;MONTAZEAU;0.131197354;44.90316398;24138;COULOUNIEIX CHAMIERS;FCD24-CREATION SITE WEB;24;0.687341021;45.16475489;1
24288;MONTAZEAU;0.131197354;44.90316398;24138;COULOUNIEIX CHAMIERS;FCR-FACEBOOK EXPERT;24;0.687341021;45.16475489;1
24288;MONTAZEAU;0.131197354;44.90316398;24138;COULOUNIEIX CHAMIERS;FCR-INSTAGRAM INITIATION;24;0.687341021;45.16475489;1
24289;MONTCARET;0.065656635;44.86203445;24053;BOULAZAC ISLE MANOIRE;CAP BOULANGER;24;0.781873873;45.14219498;1
24289;MONTCARET;0.065656635;44.86203445;24138;COULOUNIEIX CHAMIERS;FCD24-REFERENCEMENT SITE WEB;24;0.687341021;45.16475489;1
24289;MONTCARET;0.065656635;44.86203445;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;3
24289;MONTCARET;0.065656635;44.86203445;24138;COULOUNIEIX CHAMIERS;FCR-PACK MICRO;24;0.687341021;45.16475489;1
24291;MONTIGNAC;1.154240276;45.06313999;24138;COULOUNIEIX CHAMIERS;FCD24-FORMATION INITIALE TAXI;24;0.687341021;45.16475489;1
24291;MONTIGNAC;1.154240276;45.06313999;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;4
24291;MONTIGNAC;1.154240276;45.06313999;24138;COULOUNIEIX CHAMIERS;FCR-FACTURES DANS CHORUS PRO;24;0.687341021;45.16475489;1
24291;MONTIGNAC;1.154240276;45.06313999;24138;COULOUNIEIX CHAMIERS;FCR-FC OBLIGATOIRE TAXI;24;0.687341021;45.16475489;2
24291;MONTIGNAC;1.154240276;45.06313999;24138;COULOUNIEIX CHAMIERS;FCR-MARCHE PUBLIC;24;0.687341021;45.16475489;1
24291;MONTIGNAC;1.154240276;45.06313999;24138;COULOUNIEIX CHAMIERS;FCR-PACK PREMIUM;24;0.687341021;45.16475489;1
24291;MONTIGNAC-LASCAUX;1.154240276;45.06313999;24138;COULOUNIEIX CHAMIERS;FCR-PACK MICRO;24;0.687341021;45.16475489;1
24292;MONTPEYROUX;0.063218707;44.91550368;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;1
24292;MONTPEYROUX;0.063218707;44.91550368;24138;COULOUNIEIX CHAMIERS;FCR-E COMMERCE;24;0.687341021;45.16475489;1
24292;MONTPEYROUX;0.063218707;44.91550368;24138;COULOUNIEIX CHAMIERS;FCR-FACTURES DANS CHORUS PRO;24;0.687341021;45.16475489;1
24292;MONTPEYROUX;0.063218707;44.91550368;24138;COULOUNIEIX CHAMIERS;FCR-HYGIENE ALIMENTAIRE;24;0.687341021;45.16475489;1
24292;MONTPEYROUX;0.063218707;44.91550368;24138;COULOUNIEIX CHAMIERS;FCR-INSTAGRAM EXPERT;24;0.687341021;45.16475489;1
24292;MONTPEYROUX;0.063218707;44.91550368;24138;COULOUNIEIX CHAMIERS;FCR-INSTAGRAM INITIATION;24;0.687341021;45.16475489;1
24292;MONTPEYROUX;0.063218707;44.91550368;24138;COULOUNIEIX CHAMIERS;FCR-MARCHE PUBLIC;24;0.687341021;45.16475489;1
24292;MONTPEYROUX;0.063218707;44.91550368;24138;COULOUNIEIX CHAMIERS;FCR-PACK MICRO;24;0.687341021;45.16475489;1
24293;MONPLAISANT;0.995309972;44.79335192;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;2
24293;MONPLAISANT;0.995309972;44.79335192;24138;COULOUNIEIX CHAMIERS;FCR-PACK MICRO;24;0.687341021;45.16475489;1
24294;MONTPON MENESTEROL;0.155443807;45.01951547;24138;COULOUNIEIX CHAMIERS;FCD24-FORMATION INITIALE TAXI;24;0.687341021;45.16475489;1
24294;MONTPON MENESTEROL;0.155443807;45.01951547;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;4
24294;MONTPON MENESTEROL;0.155443807;45.01951547;24138;COULOUNIEIX CHAMIERS;FCR-FACEBOOK EXPERT;24;0.687341021;45.16475489;1
24294;MONTPON MENESTEROL;0.155443807;45.01951547;24138;COULOUNIEIX CHAMIERS;FCR-FC OBLIGATOIRE TAXI;24;0.687341021;45.16475489;1
24295;MONTREM;0.580979687;45.1309789;24138;COULOUNIEIX CHAMIERS;FCD24-FORMATION INITIALE TAXI;24;0.687341021;45.16475489;1
24295;MONTREM;0.580979687;45.1309789;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;2
24295;MONTREM;0.580979687;45.1309789;24138;COULOUNIEIX CHAMIERS;FCR-FACTURES DANS CHORUS PRO;24;0.687341021;45.16475489;1
24295;MONTREM;0.580979687;45.1309789;24138;COULOUNIEIX CHAMIERS;FCR-PACK MICRO;24;0.687341021;45.16475489;1
24296;MOULEYDIER;0.617566857;44.86020213;24138;COULOUNIEIX CHAMIERS;FCD24-CREATION SITE WEB;24;0.687341021;45.16475489;1
24296;MOULEYDIER;0.617566857;44.86020213;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;2
24296;MOULEYDIER;0.617566857;44.86020213;24138;COULOUNIEIX CHAMIERS;FCR-FACEBOOK INITIATION;24;0.687341021;45.16475489;1
24296;MOULEYDIER;0.617566857;44.86020213;24138;COULOUNIEIX CHAMIERS;FCR-FC OBLIGATOIRE TAXI;24;0.687341021;45.16475489;1
24296;MOULEYDIER;0.617566857;44.86020213;24138;COULOUNIEIX CHAMIERS;FCR-HYGIENE ALIMENTAIRE;24;0.687341021;45.16475489;1
24296;MOULEYDIER;0.617566857;44.86020213;24138;COULOUNIEIX CHAMIERS;FCR-INSTAGRAM INITIATION;24;0.687341021;45.16475489;1
24296;MOULEYDIER;0.617566857;44.86020213;24138;COULOUNIEIX CHAMIERS;FCR-MICRO PRIX;24;0.687341021;45.16475489;1
24297;MOULIN NEUF;0.058464985;44.99990102;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;2
24297;MOULIN NEUF;0.058464985;44.99990102;24138;COULOUNIEIX CHAMIERS;FCR-HYGIENE ALIMENTAIRE;24;0.687341021;45.16475489;1
24299;MUSSIDAN;0.364580143;45.0293464;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;1
24299;MUSSIDAN;0.364580143;45.0293464;24138;COULOUNIEIX CHAMIERS;FCR-FC OBLIGATOIRE TAXI;24;0.687341021;45.16475489;2
24299;MUSSIDAN;0.364580143;45.0293464;24138;COULOUNIEIX CHAMIERS;FCR-FORMATION INITIALE TAXI;24;0.687341021;45.16475489;1
24299;MUSSIDAN;0.364580143;45.0293464;24138;COULOUNIEIX CHAMIERS;FCR-PACK MICRO;24;0.687341021;45.16475489;2
24299;MUSSIDAN;0.364580143;45.0293464;24138;COULOUNIEIX CHAMIERS;FCR-SNACKING TRADITION PRINTEMPS ETE;24;0.687341021;45.16475489;1
24300;LALINDE;1.290786725;44.76560558;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;1
24300;LALINDE;1.290786725;44.76560558;24138;COULOUNIEIX CHAMIERS;FCR-PACK MICRO;24;0.687341021;45.16475489;1
24300;NABIRAT;1.290786725;44.76560558;24053;BOULAZAC ISLE MANOIRE;FCD24-REUNION INFORMATION;24;0.781873873;45.14219498;1
24300;NABIRAT;1.290786725;44.76560558;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;3
24303;NANTEUIL AURIAC DE BOURZAC;0.287402541;45.38055528;16015;ANGOULEME;FCR-MARCHE PUBLIC;24;0.145169289;45.64737614;1
24304;NANTHEUIL;0.956567967;45.42571195;24138;COULOUNIEIX CHAMIERS;FCD24-CREATION SITE WEB;24;0.687341021;45.16475489;1
24304;NANTHEUIL;0.956567967;45.42571195;24138;COULOUNIEIX CHAMIERS;FCD24-FORMATION INITIALE TAXI;24;0.687341021;45.16475489;1
24304;NANTHEUIL;0.956567967;45.42571195;24138;COULOUNIEIX CHAMIERS;FCD24-REFERENCEMENT SITE WEB;24;0.687341021;45.16475489;2
24304;NANTHEUIL;0.956567967;45.42571195;24138;COULOUNIEIX CHAMIERS;FCR-FACEBOOK INITIATION;24;0.687341021;45.16475489;1
24304;NANTHEUIL;0.956567967;45.42571195;24138;COULOUNIEIX CHAMIERS;FCR-FC OBLIGATOIRE TAXI;24;0.687341021;45.16475489;1
24304;NANTHEUIL;0.956567967;45.42571195;24138;COULOUNIEIX CHAMIERS;FCR-INSTAGRAM INITIATION;24;0.687341021;45.16475489;1
24307;NAUSSANNES;0.719177613;44.74998751;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;1
24307;NAUSSANNES;0.719177613;44.74998751;24138;COULOUNIEIX CHAMIERS;FCR-PACK MICRO;24;0.687341021;45.16475489;1
24309;NEUVIC;0.466382145;45.08922693;24138;COULOUNIEIX CHAMIERS;FCD24-FORMATION INITIALE TAXI;24;0.687341021;45.16475489;1
24309;NEUVIC;0.466382145;45.08922693;24138;COULOUNIEIX CHAMIERS;FCD24-REFERENCEMENT SITE WEB;24;0.687341021;45.16475489;1
24309;NEUVIC;0.466382145;45.08922693;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;3
24309;NEUVIC;0.466382145;45.08922693;24138;COULOUNIEIX CHAMIERS;FCR-HYGIENE ALIMENTAIRE;24;0.687341021;45.16475489;2
24309;NEUVIC;0.466382145;45.08922693;24138;COULOUNIEIX CHAMIERS;FCR-INSTAGRAM INITIATION;24;0.687341021;45.16475489;1
